date,temperature
23-09-13-00-19-08,19
23-09-13-00-19-09,18
23-09-13-00-19-11,19
23-09-13-00-19-12,18
23-09-13-00-19-13,18
23-09-13-00-19-14,18
23-09-13-00-19-15,18
23-09-13-00-19-17,19
23-09-13-00-19-18,19
23-09-13-00-19-19,18
23-09-13-00-19-20,18
23-09-13-00-19-24,19
23-09-13-00-19-25,18
23-09-13-00-19-26,18
23-09-13-00-19-27,18
23-09-13-00-19-28,19
23-09-13-00-19-30,18
23-09-13-00-19-31,20
23-09-13-00-19-32,18
23-09-13-00-19-33,18
23-09-13-00-19-34,20
23-09-13-00-19-35,18
23-09-13-14-18-26,18
23-09-13-14-18-27,18
23-09-13-14-18-28,18
23-09-13-14-18-28,18
23-09-13-14-18-29,19
